"Project","Longname","Dose","FoldChange","Species","Sex","Organ","P1t","DesignType","PMID","GEO","Chemical","Assay","Strain"
"140","Mouse male 28 days repeated TCDD dose-response",3,25.86,"mouse","male","Ileum, distal","140",29673856,"GSE104551","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,2271.44,"mouse","male","liver","140",NA,"GSE90097","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,2271.44,"mouse","male","liver","140",8213091,"GSE87519","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,2271.44,"mouse","male","liver","140",28213091,"GSE87542","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,2271.44,"mouse","male","liver","140",28725001,"GSE89430","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,2271.44,"mouse","male","liver","140",29673856,"GSE104551","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,42.07,"mouse","male","Ileum, proximal","140",NA,"GSE90097","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,42.07,"mouse","male","Ileum, proximal","140",8213091,"GSE87519","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,42.07,"mouse","male","Ileum, proximal","140",28213091,"GSE87542","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,42.07,"mouse","male","Ileum, proximal","140",28725001,"GSE89430","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,42.07,"mouse","male","Ileum, proximal","140",29673856,"GSE104551","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,361.15,"mouse","male","Ileum, distal","140",NA,"GSE90097","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,361.15,"mouse","male","Ileum, distal","140",8213091,"GSE87519","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,361.15,"mouse","male","Ileum, distal","140",28213091,"GSE87542","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,361.15,"mouse","male","Ileum, distal","140",28725001,"GSE89430","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",10,361.15,"mouse","male","Ileum, distal","140",29673856,"GSE104551","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",30,1770.99,"mouse","male","liver","140",NA,"GSE90097","Dose-response","TCDD","RNA-Seq","C57BL/6"
"140","Mouse male 28 days repeated TCDD dose-response",30,1770.99,"mouse","male","liver","140",8213091,"GSE87519","Dose-response","TCDD","RNA-Seq","C57BL/6"
